method,language,label,expected,prediction,accuracy,latency_ms,audio_sec,rtf,dense_size_mb,linear_sparsity,note
pruned-20-recovery,English,Greeting,How are you doing today,How are you doing today?,1.0,45.33709999999758,1.8,0.02518727777777643,72.022705078125,0.19999998902040975,
pruned-20-recovery,English,Weather,The weather is very nice outside,The weather is very nice outside.,1.0,44.89230000000077,2.544,0.017646344339622946,72.022705078125,0.19999998902040975,
pruned-20-recovery,English,Order,I would like a cup of coffee,I would like a cup of coffee.,1.0,51.9299999999987,2.088,0.02487068965517179,72.022705078125,0.19999998902040975,
pruned-20-recovery,Chinese,Greeting_zh,你好今天天气怎么样,你好今天天气怎么样,1.0,38.76680000000121,2.76,0.014045942028985948,72.022705078125,0.19999998902040975,
pruned-20-recovery,Chinese,Order_zh,我想订一杯咖啡,我想定一杯咖啡,0.8571428571428572,57.4717999999983,2.352,0.024435289115645537,72.022705078125,0.19999998902040975,
pruned-20-recovery,Chinese,Thanks,谢谢你的帮助,謝謝你的幫助,0.5,33.091199999997656,1.896,0.01745316455696079,72.022705078125,0.19999998902040975,
pruned-20-recovery,French,Salutation,Bonjour comment allez vous,Bonjour comment allez-vous?,1.0,39.28499999999957,1.632,0.024071691176470327,72.022705078125,0.19999998902040975,
pruned-20-recovery,French,Commande,Je voudrais un cafe,Je voudrais en café.,0.75,42.25860000000026,1.56,0.027088846153846317,72.022705078125,0.19999998902040975,
pruned-20-recovery,French,Thanks_fr,Merci pour votre aide,Merci pour votre aide.,1.0,36.42799999999724,1.56,0.023351282051280283,72.022705078125,0.19999998902040975,
pruned-10,English,Greeting,How are you doing today,How are you doing today?,1.0,92.53320000000187,1.8,0.051407333333334373,72.022705078125,0.09999999451020487,
pruned-10,English,Weather,The weather is very nice outside,The weather is very nice outside.,1.0,103.21590000000214,2.544,0.04057228773584989,72.022705078125,0.09999999451020487,
pruned-10,English,Order,I would like a cup of coffee,I would like a cup of coffee.,1.0,94.42239999999913,2.088,0.0452214559386969,72.022705078125,0.09999999451020487,
pruned-10,Chinese,Greeting_zh,你好今天天气怎么样,你好今天天氣怎麼樣,0.6666666666666667,75.1925,2.76,0.027243659420289855,72.022705078125,0.09999999451020487,
pruned-10,Chinese,Order_zh,我想订一杯咖啡,我想定一杯咖啡,0.8571428571428572,96.83159999999802,2.352,0.041169897959182834,72.022705078125,0.09999999451020487,
pruned-10,Chinese,Thanks,谢谢你的帮助,謝謝你的幫助,0.5,76.4484000000003,1.896,0.04032088607594953,72.022705078125,0.09999999451020487,
pruned-10,French,Salutation,Bonjour comment allez vous,Bonjour comment allez-vous.,1.0,80.20599999999689,1.632,0.04914583333333143,72.022705078125,0.09999999451020487,
pruned-10,French,Commande,Je voudrais un cafe,Je voudrais un café.,1.0,84.31780000000089,1.56,0.05404987179487236,72.022705078125,0.09999999451020487,
pruned-10,French,Thanks_fr,Merci pour votre aide,Merci pour votre aide.,1.0,68.38040000000234,1.56,0.04383358974359124,72.022705078125,0.09999999451020487,
pruned-20,English,Greeting,How are you doing today,How are you doing today?,1.0,110.59900000000056,1.8,0.0614438888888892,72.022705078125,0.19999998902040975,
pruned-20,English,Weather,The weather is very nice outside,The weather is very nice outside.,1.0,95.85880000000202,2.544,0.03768034591195048,72.022705078125,0.19999998902040975,
pruned-20,English,Order,I would like a cup of coffee,I would like a cup of coffee.,1.0,124.758700000001,2.088,0.05975033524904262,72.022705078125,0.19999998902040975,
pruned-20,Chinese,Greeting_zh,你好今天天气怎么样,你好今天天气怎么样,1.0,96.97710000000015,2.76,0.03513663043478266,72.022705078125,0.19999998902040975,
pruned-20,Chinese,Order_zh,我想订一杯咖啡,我想定義被咖啡,0.5714285714285714,142.64689999999902,2.352,0.060649192176870335,72.022705078125,0.19999998902040975,
pruned-20,Chinese,Thanks,谢谢你的帮助,謝謝你的幫助,0.5,99.57250000000073,1.896,0.052517141350211356,72.022705078125,0.19999998902040975,
pruned-20,French,Salutation,Bonjour comment allez vous,Bonjour comment allez-vous.,1.0,118.94589999999994,1.632,0.07288351715686271,72.022705078125,0.19999998902040975,
pruned-20,French,Commande,Je voudrais un cafe,Je voudrais en café.,0.75,114.2271000000008,1.56,0.07322250000000051,72.022705078125,0.19999998902040975,
pruned-20,French,Thanks_fr,Merci pour votre aide,Merci pour votre aide.,1.0,99.87999999999886,1.56,0.06402564102564029,72.022705078125,0.19999998902040975,
pruned-30,English,Greeting,How are you doing today,How are you doing today?,1.0,118.2791000000023,1.8,0.06571061111111239,72.022705078125,0.3000000109795903,
pruned-30,English,Weather,The weather is very nice outside,The weather is very nice outside.,1.0,120.33699999999925,2.544,0.04730227987421354,72.022705078125,0.3000000109795903,
pruned-30,English,Order,I would like a cup of coffee,I would like a cup of coffee.,1.0,126.79639999999992,2.088,0.060726245210727926,72.022705078125,0.3000000109795903,
pruned-30,Chinese,Greeting_zh,你好今天天气怎么样,你好今天天气怎么样,1.0,100.59920000000133,2.76,0.03644898550724686,72.022705078125,0.3000000109795903,
pruned-30,Chinese,Order_zh,我想订一杯咖啡,我想定义杯咩咵,0.4285714285714286,141.3914000000034,2.352,0.060115391156464026,72.022705078125,0.3000000109795903,
pruned-30,Chinese,Thanks,谢谢你的帮助,谢谢你的帮传,0.8333333333333334,115.06930000000182,1.896,0.06069055907173092,72.022705078125,0.3000000109795903,
pruned-30,French,Salutation,Bonjour comment allez vous,"Bonjour, comment à l'île vous.",0.25,162.8024000000039,1.632,0.099756372549022,72.022705078125,0.3000000109795903,
pruned-30,French,Commande,Je voudrais un cafe,Je voudrais en café.,0.75,116.89409999999612,1.56,0.07493211538461289,72.022705078125,0.3000000109795903,
pruned-30,French,Thanks_fr,Merci pour votre aide,Merci pour votre aide.,1.0,96.78539999999458,1.56,0.0620419230769196,72.022705078125,0.3000000109795903,
